genome,locus_tag,start,end,strand,type,gene_names
NC_000913.3,b1041,1103951,1104406,+,CDS,csgB;ECK1027;NP_415559.1
NC_000913.3,b1042,1104447,1104902,+,CDS,csgA;ECK1028;NP_415560.1
NC_000913.3,b1043,1104961,1105293,+,CDS,csgC;ECK1029;ycdE;NP_415561.1
NC_000913.3,b1044,1105414,1105725,+,CDS,ymdA;ECK1030;NP_415562.1
NC_000913.3,b1045,1105820,1106353,+,CDS,ymdB;ECK1031;NP_415563.1
NC_000913.3,b1046,1106355,1107776,+,CDS,clsC;ECK1032;ymdC;NP_415564.2
NC_000913.3,b1047,1107784,1108941,-,CDS,opgC;ECK1033;mdoC;ymdD;NP_415565.1
NC_000913.3,b1048,1109335,1110870,+,CDS,opgG;ECK1034;mdoA;mdoG;NP_415566.1
NC_000913.3,b1049,1110863,1113406,+,CDS,opgH;ECK1035;mdoA;mdoH;NP_415567.1
NC_000913.3,b1050,1113579,1113806,+,CDS,yceK;ECK1036;NP_415568.1
NC_000913.3,b1051,1113807,1114181,-,CDS,msyB;ECK1037;NP_415569.4
NC_000913.3,b1053,1114264,1115490,-,CDS,mdtG;ECK1038;yceE;NP_415571.1
NC_000913.3,b1054,1115662,1116582,-,CDS,lpxL;ECK1039;htrB;waaM;NP_415572.1
NC_000913.3,b1055,1116807,1117859,+,CDS,trhO;ECK1040;yceA;NP_415573.1
NC_000913.3,b1056,1117901,1118476,-,CDS,yceI;ECK1041;NP_415574.1
NC_000913.3,b1057,1118480,1119046,-,CDS,yceJ;ECK1042;NP_415575.1
NC_000913.3,b1058,1119307,1119447,-,CDS,yceO;ECK1043;NP_415576.1
NC_000913.3,b1059,1119468,1120586,-,CDS,solA;ECK1044;NP_415577.1
NC_000913.3,b1060,1120701,1120955,-,CDS,bssS;ECK1045;yceP;NP_415578.3
NC_000913.3,b1061,1121242,1121487,-,CDS,dinI;ECK1046;NP_415579.1
NC_000913.3,b1062,1121561,1122607,-,CDS,pyrC;ECK1047;NP_415580.1
NC_000913.3,b1063,1122713,1123273,-,CDS,yceB;ECK1048;NP_415581.1
NC_000913.3,b1064,1123407,1124054,-,CDS,grxB;ECK1049;NP_415582.1
NC_000913.3,b1065,1124118,1125326,-,CDS,mdtH;ECK1050;yceL;NP_415583.4
NC_000913.3,b1066,1125562,1126146,+,CDS,rimJ;ECK1051;tcp;NP_415584.1
NC_000913.3,b1067,1126157,1126804,+,CDS,yceH;ECK1052;NP_415585.1
NC_000913.3,b1068,1126806,1127729,+,CDS,yceM;ECK1053;mviM;NP_415586.1
NC_000913.3,b1069,1127839,1129374,+,CDS,murJ;ECK1054;mviN;yceN;NP_415587.1
NC_000913.3,b1070,1129414,1129830,-,CDS,flgN;ECK1055;NP_415588.1
NC_000913.3,b1071,1129835,1130128,-,CDS,flgM;ECK1056;NP_415589.1
NC_000913.3,b1072,1130204,1130863,-,CDS,flgA;ECK1057;flaU;NP_415590.1
NC_000913.3,b1073,1131018,1131434,+,CDS,flgB;ECK1058;flbA;NP_415591.1
NC_000913.3,b1074,1131438,1131842,+,CDS,flgC;ECK1059;flaW;NP_415592.1
NC_000913.3,b1075,1131854,1132549,+,CDS,flgD;ECK1060;flaV;NP_415593.1
NC_000913.3,b1076,1132574,1133782,+,CDS,flgE;ECK1061;flaK;NP_415594.1
NC_000913.3,b1077,1133802,1134557,+,CDS,flgF;ECK1062;flaX;NP_415595.1
NC_000913.3,b1078,1134729,1135511,+,CDS,flgG;ECK1063;flaL;NP_415596.1
NC_000913.3,b1079,1135564,1136262,+,CDS,flgH;ECK1064;flaY;NP_415597.1
NC_000913.3,b1080,1136274,1137371,+,CDS,flgI;ECK1065;flaM;NP_415598.3
NC_000913.3,b1081,1137371,1138312,+,CDS,flgJ;ECK1066;flaZ;NP_415599.1
NC_000913.3,b1082,1138378,1140021,+,CDS,flgK;ECK1067;flaS;NP_415600.1
NC_000913.3,b1083,1140033,1140986,+,CDS,flgL;ECK1068;flaT;NP_415601.1
NC_000913.3,b4826,1140986,1141063,+,ncRNA,flgO;ECK4683
NC_000913.3,b1084,1141182,1144367,-,CDS,rne;ams;ECK1069;hmp1;smbB;NP_415602.1
NC_000913.3,b1085,1144502,1144822,+,CDS,yceQ;ECK1070;NP_415603.2
NC_000913.3,b1086,1144940,1145899,+,CDS,rluC;ECK1071;yceC;NP_415604.1
NC_000913.3,b1087,1146011,1146595,-,CDS,yceF;ECK1072;NP_415605.2
NC_000913.3,b4418,1146589,1146757,+,ncRNA,sraB;ECK1073;pke20;psrA4;psrD
NC_000913.3,b1088,1146794,1147315,+,CDS,yceD;ECK1074;NP_415606.1
NC_000913.3,b1089,1147367,1147540,+,CDS,rpmF;ECK1075;NP_415607.1
NC_000913.3,b1090,1147621,1148691,+,CDS,plsX;ECK1076;NP_415608.2
NC_000913.3,b1091,1148759,1149712,+,CDS,fabH;ECK1077;NP_415609.1
NC_000913.3,b1092,1149728,1150657,+,CDS,fabD;ECK1078;tfpA;NP_415610.1
NC_000913.3,b1093,1150670,1151404,+,CDS,fabG;ECK1079;NP_415611.1
NC_000913.3,b1094,1151615,1151851,+,CDS,acpP;ECK1080;NP_415612.1
NC_000913.3,b1095,1151939,1153180,+,CDS,fabF;cvc;ECK1081;fabJ;vtr;vtrB;NP_415613.1
NC_000913.3,b1096,1153300,1154109,+,CDS,pabC;ECK1082;NP_415614.1
NC_000913.3,b1097,1154112,1155134,+,CDS,mltG;ECK1083;yceG;NP_415615.1
NC_000913.3,b1098,1155124,1155765,+,CDS,tmk;ECK1084;ycfG;NP_415616.1
NC_000913.3,b1099,1155762,1156766,+,CDS,holB;ECK1085;NP_415617.1
NC_000913.3,b1100,1156777,1157574,+,CDS,ycfH;ECK1086;NP_415618.1
NC_000913.3,b1101,1157869,1159302,+,CDS,ptsG;car;cat;catB2;CR;ECK1087;glcA;gptA;tgl;umg;umgC;NP_415619.1
NC_000913.3,b1102,1159362,1161551,-,CDS,fhuE;ECK1088;NP_415620.1
NC_000913.3,b1103,1161885,1162244,+,CDS,hinT;ECK1089;ycfF;NP_415621.3
NC_000913.3,b1104,1162247,1162624,+,CDS,ycfL;ECK1090;NP_415622.1
NC_000913.3,b1105,1162638,1163279,+,CDS,lpoB;ECK1091;ycfM;NP_415623.1
NC_000913.3,b1106,1163260,1164084,+,CDS,thiK;ECK1092;ycfN;NP_415624.1
NC_000913.3,b1107,1164095,1165120,+,CDS,nagZ;ECK1093;ycfO;NP_415625.1
NC_000913.3,b1108,1165143,1165685,+,CDS,ycfP;ECK1094;NP_415626.4
NC_000913.3,b1109,1166085,1167389,+,CDS,ndh;ECK1095;NP_415627.1
NC_000913.3,b1110,1167599,1168138,+,CDS,ycfJ;ECK1096;NP_415628.1
NC_000913.3,b1111,1168200,1168832,-,CDS,comR;ECK1097;ycfQ;NP_415629.4
NC_000913.3,b1112,1169073,1169330,+,CDS,bhsA;comC;ECK1098;ycfR;NP_415630.1
NC_000913.3,b4832,1169303,1169402,+,ncRNA,bhsB;ECK4689
NC_000913.3,b1113,1169412,1170374,-,CDS,ldtC;ECK1099;ycfS;NP_415631.1
NC_000913.3,b1114,1170518,1173964,-,CDS,mfd;ECK1100;NP_415632.1
NC_000913.3,b1115,1174092,1175165,-,CDS,ycfT;ECK1101;NP_415633.1
NC_000913.3,b1116,1175427,1176626,+,CDS,lolC;ECK1102;ycfU;NP_415634.1
NC_000913.3,b1117,1176619,1177320,+,CDS,lolD;ECK1103;ycfV;NP_415635.4
NC_000913.3,b1118,1177320,1178564,+,CDS,lolE;ECK1104;ycfW;NP_415636.1
NC_000913.3,b1119,1178593,1179504,+,CDS,nagK;ECK1105;ycfX;NP_415637.1
NC_000913.3,b1120,1179520,1180359,+,CDS,cobB;ECK1106;ycfY;NP_415638.3;YP_010051180.1
NC_000913.3,b1121,1180479,1181267,-,CDS,ycfZ;ECK1107;NP_415639.1
NC_000913.3,b1122,1181264,1181725,-,CDS,ymfA;ECK1108;NP_415640.2
NC_000913.3,b1123,1181783,1182829,-,CDS,potD;ECK1109;NP_415641.1
NC_000913.3,b1124,1182826,1183620,-,CDS,potC;ECK1110;NP_415642.1
NC_000913.3,b1125,1183617,1184444,-,CDS,potB;ECK1111;NP_415643.3
NC_000913.3,b1126,1184458,1185594,-,CDS,potA;ECK1112;NP_415644.1
NC_000913.3,b1127,1185844,1187070,+,CDS,pepT;ECK1113;NP_415645.1
NC_000913.3,b1128,1187119,1188240,-,CDS,roxA;ECK1114;ycfD;NP_415646.4
NC_000913.3,b1129,1188316,1189776,-,CDS,phoQ;ECK1115;NP_415647.1
NC_000913.3,b1130,1189776,1190447,-,CDS,phoP;ECK1116;NP_415648.1
NC_000913.3,b4843,1190165,1190508,+,ncRNA,asphoP;ECK4700
NC_000913.3,b1131,1190616,1191986,-,CDS,purB;ade;ade(h);ECK1117;NP_415649.1
NC_000913.3,b1132,1191990,1192631,-,CDS,hflD;ECK1118;hslZ;ycfC;NP_415650.1
NC_000913.3,b1133,1192667,1193773,-,CDS,mnmA;asuE;ECK1119;trmU;ycfB;NP_415651.4
NC_000913.3,b1134,1193827,1194288,-,CDS,nudJ;ECK1120;ymfB;NP_415652.1
NC_000913.3,b1135,1194298,1194951,-,CDS,rluE;ECK1121;ymfC;NP_415653.4
NC_000913.3,b1136,1195123,1196373,+,CDS,icd;ECK1122;icdA;icdE;NP_415654.1
NC_000913.3,b4806,1196711,1196782,+,ncRNA,C0293;ECK4663
NC_000913.3,b1137,1196867,1197532,-,CDS,ymfD;ECK1123;NP_415655.1
NC_000913.3,b1138,1197533,1198237,-,CDS,ymfE;ECK1124;NP_415656.1
NC_000913.3,b1139,1198695,1199588,+,CDS,lit;ECK1125;NP_415657.1
NC_000913.3,b1140,1199679,1200806,-,CDS,intE;ECK1126;int(Lambda);ycfI;NP_415658.1
NC_000913.3,b1141,1200787,1201032,-,CDS,xisE;ECK1127;ymfG;NP_415659.1
NC_000913.3,b1142,1201069,1201380,-,CDS,ymfH;ECK1128;YP_009518763.1
NC_000913.3,b1143,1201497,1201838,+,CDS,ymfI;ECK1129;NP_415661.2
NC_000913.3,b1144,1201776,1202084,-,CDS,ymfJ;ECK1130;NP_415662.2
NC_000913.3,b1145,1202259,1202933,-,CDS,ymfK;cohE;ECK1131;NP_415663.1
NC_000913.3,b1146,1203024,1203224,+,CDS,ymfT;croE;ECK1132;NP_415664.2
NC_000913.3,b1147,1203268,1203825,+,CDS,ymfL;ECK1133;NP_415665.2
NC_000913.3,b1148,1203822,1204160,+,CDS,ymfM;ECK1134;sfiC;NP_415666.1
NC_000913.3,b1149,1204170,1205537,+,CDS,ymfN;ECK1135;YP_009518764.1
NC_000913.3,b1150,1205549,1205731,+,CDS,ymfR;ECK1136;NP_415668.1
NC_000913.3,b1151,1205731,1206204,+,CDS,beeE;ECK1137;ymfO;YP_009518765.1
NC_000913.3,b1153,1206913,1207497,+,CDS,ymfQ;ECK1139;NP_415671.1
NC_000913.3,b1154,1207501,1208130,+,CDS,ycfK;ECK1140;stfP;NP_415672.1
NC_000913.3,b1155,1208132,1208545,+,CDS,tfaP;ECK1141;ymfS;NP_415673.1
NC_000913.3,b1156,1208517,1209119,-,CDS,tfaE;ECK1142;ycfA;NP_415674.1
NC_000913.3,b1158,1209685,1210239,+,CDS,pinE;ECK1144;pin;NP_415676.1
NC_000913.3,b1159,1210346,1211179,+,CDS,mcrA;ECK1145;rglA;NP_415677.1
NC_000913.3,b1160,1211680,1212003,-,CDS,iraM;ECK1147;elb1;elbA;ycgW;NP_415678.1
NC_000913.3,b4738,1212260,1212304,-,CDS,ymgK;ECK4595;YP_009518766.1
NC_000913.3,b4739,1212540,1212650,-,CDS,ymgL;ECK4596;YP_009518767.1
NC_000913.3,b1161,1212703,1213107,-,CDS,ycgX;ECK1148;NP_415679.1
NC_000913.3,b1162,1213328,1214059,-,CDS,bluR;ECK1149;ycgE;NP_415680.1
NC_000913.3,b1163,1214264,1215475,-,CDS,bluF;ECK1150;ycgF;NP_415681.1
NC_000913.3,b1164,1215789,1216025,+,CDS,ycgZ;ECK1151;NP_415682.1
NC_000913.3,b1165,1216068,1216340,+,CDS,ymgA;ECK1152;NP_415683.1
NC_000913.3,b1166,1216369,1216635,+,CDS,ariR;ECK1153;ymgB;NP_415684.1
NC_000913.3,b1167,1216748,1216996,+,CDS,ymgC;ECK1154;NP_415685.1
NC_000913.3,b1168,1217328,1218851,+,CDS,pdeG;ECK1155;ycgG;NP_415686.2
NC_000913.3,b4520,1218983,1219201,+,CDS,ymgF;ECK1156;YP_588447.1
NC_000913.3,b1171,1222305,1222634,-,CDS,ymgD;ECK1158;NP_415689.2
NC_000913.3,b1172,1222644,1222988,-,CDS,ymgG;ECK1159;NP_415690.5
NC_000913.3,b4593,1222990,1223163,-,CDS,ymgI;ECK4403;YP_001165314.1
NC_000913.3,b4594,1223264,1223449,+,CDS,ymgJ;ECK4404;YP_001165315.1
NC_000913.3,b1174,1224279,1224545,-,CDS,minE;ECK1162;minB;NP_415692.1
NC_000913.3,b1175,1224549,1225361,-,CDS,minD;ECK1163;minB;NP_415693.1
NC_000913.3,b1176,1225385,1226080,-,CDS,minC;ECK1164;minB;NP_415694.1
NC_000913.3,b1177,1226600,1226968,+,CDS,ycgJ;ECK1165;NP_415695.1
NC_000913.3,b1178,1227071,1227472,-,CDS,pliG;ECK1166;ycgK;NP_415696.1
NC_000913.3,b4816,1227368,1227427,+,CDS,ymgN;ECK4673;YP_010283909.1
NC_000913.3,b1179,1227681,1228007,+,CDS,ycgL;ECK1167;NP_415697.5
NC_000913.3,b1180,1228079,1228738,+,CDS,ycgM;ECK1168;NP_415698.1
NC_000913.3,b1181,1228815,1229276,+,CDS,ycgN;ECK1169;NP_415699.5
NC_000913.3,b1182,1229483,1230394,-,CDS,hlyE;clyA;ECK1170;hpr;sheA;ycgD;NP_415700.4
NC_000913.3,b1183,1230767,1231186,+,CDS,umuD;ECK1171;NP_415701.1
NC_000913.3,b1184,1231186,1232454,+,CDS,umuC;ECK1172;uvm;NP_415702.1
NC_000913.3,b1185,1232500,1233030,-,CDS,dsbB;dsbX;ECK1173;iarB;rosB;roxB;ycgA;NP_415703.3
NC_000913.3,b1186,1233176,1234717,-,CDS,nhaB;ECK1174;NP_415704.1
NC_000913.3,b1187,1234938,1235657,+,CDS,fadR;dec;ECK1175;ole;oleR;thdB;NP_415705.1
NC_000913.3,b1188,1235709,1237241,-,CDS,ycgB;ECK1176;NP_415706.1
NC_000913.3,b1189,1237571,1238869,+,CDS,dadA;dadR;ECK1177;NP_415707.1
NC_000913.3,b1190,1238879,1239949,+,CDS,dadX;alnA;alnB;dadB;ECK1178;NP_415708.1
NC_000913.3,b4740,1240260,1240463,+,CDS,ymgM;ECK4597;YP_009518768.1
NC_000913.3,b1191,1240335,1242071,-,CDS,cvrA;ECK1179;ycgO;NP_415709.2
NC_000913.3,b1192,1242166,1243080,-,CDS,ldcA;ECK1180;ycgQ;NP_415710.1
NC_000913.3,b1193,1243180,1243791,+,CDS,emtA;ECK1181;mltE;sltZ;ycgP;NP_415711.2
NC_000913.3,b1194,1243793,1244527,-,CDS,ycgR;ECK1182;NP_415712.1
NC_000913.3,b1195,1244728,1244982,+,CDS,ymgE;ECK1183;tag;NP_415713.1
NC_000913.3,b1196,1245160,1245600,+,CDS,ycgY;ECK1184;NP_415714.1
NC_000913.3,b1197,1245679,1247376,-,CDS,treA;ECK1185;osmA;tre;NP_415715.1
NC_000913.3,b1198,1247696,1249114,-,CDS,dhaM;dhaH;ECK1186;ptsD;ycgC;NP_415716.4
NC_000913.3,b1199,1249125,1249757,-,CDS,dhaL;dhaK2;ECK1187;ycgS;ysgS;NP_415717.1
NC_000913.3,b1200,1249768,1250838,-,CDS,dhaK;dhaK1;ECK1188;ycgT;NP_415718.6
NC_000913.3,b1201,1251066,1252985,+,CDS,dhaR;ECK1189;ycgU;NP_415719.2
NC_000913.3,b1202,1253085,1255952,-,CDS,ycgV;ECK1190;NP_415720.1
NC_000913.3,b1203,1256721,1257812,-,CDS,ychF;ECK1191;gtp1;NP_415721.1
NC_000913.3,b1204,1257929,1258513,-,CDS,pth;ECK1192;rap;NP_415722.1
NC_000913.3,b1205,1258791,1259069,+,CDS,ychH;ECK1193;NP_415723.1
NC_000913.3,b1206,1259124,1260803,-,CDS,dauA;ECK1194;ychM;NP_415724.2
NC_000913.3,b1207,1260928,1261875,-,CDS,prs;dnaR;ECK1195;prsA;NP_415725.1
NC_000913.3,b1208,1262026,1262877,-,CDS,ispE;ECK1196;ipk;ychB;NP_415726.1
NC_000913.3,b1209,1262877,1263500,-,CDS,lolB;ECK1197;hemM;ychC;NP_415727.1
NC_000913.3,b1210,1263714,1264970,+,CDS,hemA;ECK1198;gtrA;NP_415728.1
NC_000913.3,b1211,1265012,1266094,+,CDS,prfA;ECK1199;sueB;uar;ups?;NP_415729.1
NC_000913.3,b1212,1266094,1266927,+,CDS,prmC;ECK1200;hemK;NP_415730.1
NC_000913.3,b1213,1266924,1267316,+,CDS,ychQ;ECK1201;sirB2;NP_415731.1
NC_000913.3,b1214,1267320,1268129,+,CDS,ychA;ECK1202;sirB1;NP_415732.1
NC_000913.3,b1215,1268165,1269019,+,CDS,kdsA;ECK1203;NP_415733.1
NC_000913.3,b4419,1269168,1269275,-,CDS,ldrA;ECK1204;YP_025297.1
NC_000913.3,b4420,1269323,1269389,+,ncRNA,rdlA;ECK1205
NC_000913.3,b4421,1269703,1269810,-,CDS,ldrB;ECK1206;YP_025298.1
NC_000913.3,b4422,1269858,1269923,+,ncRNA,rdlB;ECK1207
NC_000913.3,b4423,1270238,1270345,-,CDS,ldrC;ECK1208;YP_025299.1
NC_000913.3,b4424,1270393,1270460,+,ncRNA,rdlC;ECK1209
NC_000913.3,b1216,1270749,1271849,-,CDS,chaA;ECK1210;NP_415734.1
NC_000913.3,b1217,1272119,1272349,+,CDS,chaB;ECK1211;NP_415735.1
NC_000913.3,b1218,1272507,1273202,+,CDS,chaC;ECK1212;NP_415736.2
NC_000913.3,b1219,1273246,1273599,-,CDS,ychN;ECK1213;NP_415737.1
NC_000913.3,b1220,1273784,1275178,+,CDS,ychO;ECK1214;ychP;NP_415738.2
NC_000913.3,b1221,1275179,1275829,-,CDS,narL;ECK1215;frdR;narR;NP_415739.1
NC_000913.3,b1222,1275822,1277618,-,CDS,narX;ECK1216;frd1;frdR;narR;NP_415740.1
NC_000913.3,b1223,1277957,1279348,+,CDS,narK;ECK1217;NP_415741.1
NC_000913.3,b4813,1279337,1279520,+,ncRNA,narS;ECK4670
NC_000913.3,b1224,1279864,1283607,+,CDS,narG;chlC;ECK1218;narC;NP_415742.1
NC_000913.3,b1225,1283604,1285142,+,CDS,narH;chlC;ECK1219;NP_415743.1
NC_000913.3,b1226,1285139,1285849,+,CDS,narJ;ECK1220;NP_415744.1
NC_000913.3,b1227,1285849,1286526,+,CDS,narI;chlI;ECK1221;NP_415745.1
NC_000913.3,b1228,1286709,1286984,+,CDS,ychS;ECK1222;YP_009518769.1
NC_000913.3,b4425,1287066,1287236,-,ncRNA,rttR;ECK1223;rtT
NC_000913.3,b1229,1287087,1287176,-,CDS,tpr;ECK1224;NP_415747.2
NC_000913.3,b1230,1287244,1287328,-,tRNA,tyrV;ECK1225;tyrTbeta
NC_000913.3,b1231,1287538,1287622,-,tRNA,tyrT;ECK1226;su(c);Su-3;Su-4;suIII;supC;supFsupO;tyrTalpha
NC_000913.3,b1232,1287782,1288624,-,CDS,purU;ECK1227;tgs;ychI;NP_415748.1
NC_000913.3,b1233,1288674,1289132,-,CDS,ychJ;ECK1228;NP_415749.1
NC_000913.3,b1234,1289245,1290150,+,CDS,rssA;ECK1229;ychK;NP_415750.2
NC_000913.3,b1235,1290242,1291255,+,CDS,rssB;ECK1230;hnr;sprE;ychL;NP_415751.1
NC_000913.3,b1236,1291457,1292365,+,CDS,galU;ECK1231;ychD;NP_415752.1
NC_000913.3,b1237,1292509,1292922,-,CDS,hns;B1;bglY;cur;drc;drdX;drs;ECK1232;fimG;H1;hnsA;irk;msyA;osmZ;pilG;topS;topX;virR;NP_415753.1
NC_000913.3,b1238,1293527,1294144,+,CDS,tdk;ECK1233;NP_415754.1
NC_000913.3,b1241,1295446,1298121,-,CDS,adhE;adhC;ana;ECK1235;NP_415757.1
NC_000913.3,b4771,1298514,1298567,+,CDS,ychT;ECK4627;YP_010051181.1
NC_000913.3,b1242,1298598,1299245,+,CDS,ychE;ECK1236;NP_415758.1
NC_000913.3,b4711,1299567,1300547,+,CDS,insH21;ECK4568;NP_417962.2
NC_000913.3,b1243,1301182,1302813,+,CDS,oppA;ECK1237;NP_415759.1
NC_000913.3,b1244,1302899,1303819,+,CDS,oppB;ECK1238;NP_415760.1
NC_000913.3,b1245,1303834,1304742,+,CDS,oppC;ECK1239;NP_415761.1
NC_000913.3,b1246,1304754,1305767,+,CDS,oppD;ECK1240;YP_025300.1
NC_000913.3,b1247,1305764,1306768,+,CDS,oppF;ECK1241;NP_415763.1
NC_000913.3,b1248,1306821,1307150,-,CDS,yciU;ECK1242;NP_415764.4
NC_000913.3,b1249,1307185,1308645,-,CDS,clsA;cls;ECK1243;nov;yciJ;NP_415765.1
NC_000913.3,b4595,1308788,1308961,+,CDS,yciY;ECK4405;YP_001165316.1
NC_000913.3,b1250,1309016,1310269,-,CDS,kch;ECK1244;NP_415766.1
NC_000913.3,b1251,1310569,1310865,-,CDS,yciI;ECK1245;NP_415767.2
NC_000913.3,b1252,1311089,1311808,+,CDS,tonB;ECK1246;exbA;T1rec;NP_415768.1
NC_000913.3,b1253,1311848,1312246,-,CDS,yciA;ECK1247;NP_415769.1
NC_000913.3,b1254,1312351,1312890,-,CDS,yciB;ECK1248;NP_415770.1
NC_000913.3,b1255,1312920,1313663,-,CDS,yciC;ECK1249;NP_415771.1
NC_000913.3,b1256,1314020,1314658,+,CDS,ompW;ECK1250;yciD;NP_415772.1
NC_000913.3,b1257,1314718,1315224,-,CDS,yciE;ECK1251;NP_415773.1
NC_000913.3,b1258,1315270,1315770,-,CDS,yciF;ECK1252;NP_415774.1
NC_000913.3,b1259,1315856,1316035,-,CDS,yciG;ECK1253;NP_415775.4
NC_000913.3,b1260,1316416,1317222,-,CDS,trpA;ECK1254;try;tryp;NP_415776.1
NC_000913.3,b1261,1317222,1318415,-,CDS,trpB;ECK1255;NP_415777.1
NC_000913.3,b1262,1318427,1319788,-,CDS,trpC;ECK1256;trpCF;trpF;NP_415778.3
NC_000913.3,b1263,1319789,1321384,-,CDS,trpD;ECK1257;trpGD;NP_415779.1
NC_000913.3,b1264,1321384,1322946,-,CDS,trpE;anth;ECK1258;tryD;tryp-4;NP_415780.1
NC_000913.3,b1265,1323038,1323082,-,CDS,trpL;ECK1259;trpEE;NP_415781.1
NC_000913.3,b1266,1323220,1324101,+,CDS,rnm;ECK1260;trpH;yciV;NP_415782.1
NC_000913.3,b1267,1324098,1324718,+,CDS,yciO;ECK1261;NP_415783.6
NC_000913.3,b1268,1324746,1326641,+,CDS,yciQ;ECK1262;yciP;NP_415784.1
NC_000913.3,b1269,1326852,1327727,+,CDS,rluB;ECK1263;yciL;NP_415785.1
NC_000913.3,b1270,1327767,1328357,-,CDS,btuR;cobA;ECK1264;NP_415786.1
NC_000913.3,b1271,1328354,1329112,-,CDS,yciK;ECK1265;NP_415787.1
NC_000913.3,b1272,1329332,1330381,+,CDS,sohB;ECK1266;NP_415788.1
NC_000913.3,b1273,1330417,1330668,-,CDS,yciN;ECK1267;NP_415789.1
NC_000913.3,b1274,1331048,1333645,+,CDS,topA;ECK1268;supX;NP_415790.1
NC_000913.3,b1275,1333855,1334829,+,CDS,cysB;ECK1269;NP_415791.1
NC_000913.3,b4522,1335148,1335288,+,CDS,ymiA;ECK4433;yciX_1;YP_588449.3
NC_000913.3,b4523,1335291,1335458,+,CDS,yciX;ECK1270;yciX_2;YP_588450.2
NC_000913.3,b4741,1335572,1335667,+,CDS,ymiC;ECK4598;YP_009518771.1
NC_000913.3,b1276,1335831,1338506,+,CDS,acnA;acn;ECK1271;NP_415792.1
NC_000913.3,b1277,1338570,1339160,-,CDS,ribA;ECK1272;NP_415793.1
NC_000913.3,b1278,1339330,1340094,+,CDS,pgpB;ECK1273;NP_415794.1
NC_000913.3,b1279,1340243,1340551,+,CDS,lapA;ECK1274;yciS;NP_415795.1
NC_000913.3,b1280,1340558,1341727,+,CDS,lapB;ECK1275;yciM;NP_415796.1
NC_000913.3,b1281,1341921,1342658,+,CDS,pyrF;ECK1276;NP_415797.1
NC_000913.3,b1282,1342658,1342984,+,CDS,yciH;ECK1277;NP_415798.2
NC_000913.3,b1283,1343110,1343328,-,CDS,osmB;ECK1278;NP_415799.1
NC_000913.3,b1284,1343597,1344346,-,CDS,yciT;deoT;ECK1279;NP_415800.1
NC_000913.3,b4596,1344436,1344609,-,CDS,yciZ;deoL;ECK4406;YP_001165317.1
NC_000913.3,b4772,1344647,1344775,+,CDS,ymiD;ECK4629;YP_010051182.1
NC_000913.3,b1285,1344757,1346742,-,CDS,pdeR;ECK1280;gmr;yciR;NP_415801.1
NC_000913.3,b4672,1346796,1346900,+,CDS,ymiB;ECK4487;YP_002791239.1
NC_000913.3,b1286,1346978,1348912,-,CDS,rnb;ECK1281;NP_415802.1
NC_000913.3,b1287,1348980,1350107,-,CDS,yciW;ECK1282;NP_415803.2
NC_000913.3,b1288,1350251,1351039,-,CDS,fabI;ECK1283;envM;gts;qmeA;NP_415804.1
NC_000913.3,b1289,1351407,1351760,-,CDS,ycjD;ECK1284;NP_415805.1
NC_000913.3,b1290,1351828,1352634,-,CDS,sapF;ECK1285;NP_415806.1
NC_000913.3,b1291,1352636,1353628,-,CDS,sapD;ECK1286;trkE;NP_415807.1
NC_000913.3,b1292,1353628,1354518,-,CDS,sapC;ECK1287;NP_415808.1
NC_000913.3,b1293,1354505,1355470,-,CDS,sapB;ECK1288;NP_415809.1
NC_000913.3,b1294,1355467,1357110,-,CDS,sapA;ECK1289;NP_415810.1
NC_000913.3,b1295,1357423,1357668,-,CDS,ymjA;ECK1290;NP_415811.1
NC_000913.3,b1296,1357802,1359187,-,CDS,puuP;ECK1291;ycjJ;NP_415812.4
NC_000913.3,b4742,1359177,1359341,-,CDS,ymjE;ECK4599;YP_009518772.1
NC_000913.3,b1297,1359490,1360908,-,CDS,puuA;ECK1292;ycjK;NP_415813.4
NC_000913.3,b1298,1361120,1361884,+,CDS,puuD;ECK1293;ycjL;NP_415814.4
NC_000913.3,b1299,1361911,1362468,+,CDS,puuR;ECK1294;ycjC;NP_415815.1
NC_000913.3,b1300,1362743,1364230,+,CDS,puuC;aldH;ECK1295;NP_415816.1
NC_000913.3,b1301,1364232,1365512,+,CDS,puuB;ECK1296;ordL;ycjA;NP_415817.1
NC_000913.3,b1302,1365550,1366815,+,CDS,puuE;ECK1297;goaG;NP_415818.1
NC_000913.3,b1303,1366935,1367912,-,CDS,pspF;ECK1298;ycjB;NP_415819.4
NC_000913.3,b1304,1368079,1368747,+,CDS,pspA;cog;ECK1299;NP_415820.1
NC_000913.3,b1305,1368801,1369025,+,CDS,pspB;ECK1300;NP_415821.1
NC_000913.3,b1306,1369025,1369384,+,CDS,pspC;ECK1301;NP_415822.1
NC_000913.3,b1307,1369393,1369614,+,CDS,pspD;ECK1302;NP_415823.1
NC_000913.3,b1308,1369689,1370003,+,CDS,pspE;ECK1303;NP_415824.1
NC_000913.3,b1309,1370216,1371895,+,CDS,ycjM;ECK1304;ggaP;NP_415825.4
NC_000913.3,b1310,1371909,1373201,+,CDS,ycjN;ECK1305;NP_415826.1
NC_000913.3,b1311,1373222,1374103,+,CDS,ycjO;ECK1306;NP_415827.1
