locus_tag,mutation_density,mutation_count,start,middle,end,avg_length,strand,type,gc_content,cpg_excess,asymmetry,binary_asymmetry,distance_from_oric,relative_distance_from_oric,relative_distance_oscillating_triangle,relative_distance_oscillating_cosine,essentiality_pec,binary_pec,essentiality_gerdes,binary_gerdes,transcript,protein_abundance_pax,protein_abundance_lb,gene_names
b1029,0,0,1095843,1096336.5,1096829,987,+,CDS,0.40526849,1.031900245,leading,1,1812128.5,0.780811875,0.438376251,0.635456663,NE,0,NE,0,0,0.137,0,ycdU;ECK1017;NP_415548.1
b1033,0.001064963,1,1097886,1098355.5,1098824,939,+,CDS,0.512247071,1.073142857,leading,1,1814147.5,0.781681824,0.436636353,0.633344024,NE,0,E,1,40.895462,221,1171,ghrA;ECK1019;ycdW;NP_415551.2
b1034,0.001355014,1,1098879,1099248,1099616,738,+,CDS,0.483739837,1.13645506,leading,1,1815040,0.782066385,0.43586723,0.632408622,NE,0,E,1,64.3074535,72.4,125,ycdX;ECK1020;NP_415552.1
b1035,0.001801802,1,1099640,1099917.5,1100194,555,+,CDS,0.535135135,0.940161157,leading,1,1815709.5,0.78235486,0.43529028,0.631706334,NE,0,NE,0,66.155266,256,627,ycdY;ECK1021;NP_415553.1
b1036,0,0,1100296,1100542,1100787,492,+,CDS,0.538617886,0.857441617,leading,1,1816334,0.782623945,0.43475211,0.631050781,NE,0,E,1,41.6531655,0.035,0,ycdZ;ECK1022;nupT;NP_415554.4
b1037,0,0,1100851,1101268,1101684,834,-,CDS,0.501199041,1.164777801,lagging,0,1817060,0.782936765,0.43412647,0.630288115,NE,0,NE,0,4.7277625,11.2,0,csgG;ECK1023;NP_415555.1
b1038,0,0,1101711,1101919.5,1102127,417,-,CDS,0.424460432,1.177663671,lagging,0,1817711.5,0.783217484,0.433565032,0.629603193,NE,0,NE,0,0.619803,30.9,0,csgF;ECK1024;NP_415556.1
b1039,0,0,1102152,1102347,1102541,390,-,CDS,0.430769231,1.289534215,lagging,0,1818139,0.783401685,0.433196629,0.629153497,NE,0,E,1,0.8718985,0.623,0,csgE;ECK1025;NP_415557.1
b1040,0.001536098,1,1102546,1102871.5,1103196,651,-,CDS,0.41781874,1.304044177,lagging,0,1818663.5,0.783627683,0.432744635,0.628601476,NE,0,NE,0,1.973753,33.9,0,csgD;ECK1026;NP_415558.1
b1041,0.002192982,1,1103951,1104179,1104406,456,+,CDS,0.418859649,0.879509871,leading,1,1819971,0.78419106,0.431617881,0.627223991,NE,0,NE,0,0.6792815,1.84,0,csgB;ECK1027;NP_415559.1
b1042,0.002192982,1,1104447,1104675,1104902,456,+,CDS,0.510964912,0.942844484,leading,1,1820467,0.784404777,0.431190447,0.626700928,NE,0,NE,0,6.9652495,140,0,csgA;ECK1028;NP_415560.1
b1043,0.003003003,1,1104961,1105127.5,1105293,333,+,CDS,0.426426426,0.731868132,leading,1,1820919.5,0.78459975,0.430800499,0.626223492,NE,0,NE,0,1.12944,62.6,0,csgC;ECK1029;ycdE;NP_415561.1
b1044,0,0,1105414,1105570,1105725,312,+,CDS,0.435897436,0.81038961,leading,1,1821362,0.784790415,0.43041917,0.62575638,NE,0,NE,0,4.1462825,1.00E-07,0,ymdA;ECK1030;NP_415562.1
b1045,0,0,1105820,1106087,1106353,534,+,CDS,0.516853933,1.040990516,leading,1,1821879,0.785013181,0.429973639,0.62521034,NE,0,NE,0,39.555319,89.6,12,ymdB;ECK1031;NP_415563.1
b1046,0,0,1106355,1107066,1107776,1422,+,CDS,0.507032349,1.229856832,leading,1,1822858,0.785435013,0.429129974,0.62417551,NE,0,NE,0,17.0904095,10.1,0,clsC;ECK1032;ymdC;NP_415564.2
b1047,0.000863558,1,1107784,1108363,1108941,1158,-,CDS,0.438687392,1.16733871,lagging,0,1824155,0.785993866,0.428012268,0.622802858,NE,0,NE,0,5.407193,14.6,0,opgC;ECK1033;mdoC;ymdD;NP_415565.1
b1048,0.001302083,2,1109335,1110103,1110870,1536,+,CDS,0.498697917,1.121703522,leading,1,1825895,0.786743599,0.426512802,0.620958351,NE,0,NE,0,116.730053,459,929,opgG;ECK1034;mdoA;mdoG;NP_415566.1
b1049,0.000393082,1,1110863,1112135,1113406,2544,+,CDS,0.549528302,1.154274452,leading,1,1827927,0.787619149,0.424761701,0.618799947,NE,0,NE,0,68.6920815,57.4,30,opgH;ECK1035;mdoA;mdoH;NP_415567.1
b1050,0,0,1113579,1113693,1113806,228,+,CDS,0.504385965,0.765567766,leading,1,1829485,0.788290462,0.423419076,0.617141857,NE,0,NE,0,104.598339,1.00E-07,0,yceK;ECK1036;NP_415568.1
b1051,0,0,1113807,1113994.5,1114181,375,-,CDS,0.501333333,1.155761024,lagging,0,1829786.5,0.788420373,0.423159255,0.616820671,NE,0,E,1,121.0454785,722,614,msyB;ECK1037;NP_415569.4
b1053,0.001629992,2,1114264,1114877.5,1115490,1227,-,CDS,0.524857376,1.126068686,lagging,0,1830669.5,0.788800841,0.422398319,0.615879425,NE,0,NE,0,5.845001,0.408,0,mdtG;ECK1038;yceE;NP_415571.1
b1054,0.001085776,1,1115662,1116122.5,1116582,921,-,CDS,0.529858849,1.225579868,lagging,0,1831914.5,0.789337288,0.421325425,0.614550805,NE,0,NE,0,30.35833,3.87,0,lpxL;ECK1039;htrB;waaM;NP_415572.1
b1055,0.00379867,4,1116807,1117333.5,1117859,1053,+,CDS,0.497625831,1.371735948,leading,1,1833125.5,0.789859085,0.420281831,0.613256794,NE,0,NE,0,14.7841845,21.4,122,trhO;ECK1040;yceA;NP_415573.1
b1056,0,0,1117901,1118189,1118476,576,-,CDS,0.473958333,1.175131537,lagging,0,1833981,0.790227703,0.419544593,0.612341658,NE,0,NE,0,17.355588,93.2,535,yceI;ECK1041;NP_415574.1
b1057,0,0,1118480,1118763.5,1119046,567,-,CDS,0.511463845,1.132705479,lagging,0,1834555.5,0.790475245,0.419049511,0.61172665,NE,0,NE,0,4.340062,1.00E-07,0,yceJ;ECK1042;NP_415575.1
b1058,0,0,1119307,1119377.5,1119447,141,-,CDS,0.375886525,1.03372434,lagging,0,1835169.5,0.790739806,0.418520389,0.611068947,NE,0,NE,0,0.5485405,1.00E-07,0,yceO;ECK1043;NP_415576.1
b1059,0.000893655,1,1119468,1120027.5,1120586,1119,-,CDS,0.524575514,1.299108387,lagging,0,1835819.5,0.791019878,0.417960243,0.610372222,NE,0,NE,0,34.8541605,119,622,solA;ECK1044;NP_415577.1
b1060,0,0,1120701,1120828.5,1120955,255,-,CDS,0.450980392,1.011904762,lagging,0,1836620.5,0.791365014,0.417269972,0.609512993,NE,0,NE,0,143.095978,1.00E-07,0,bssS;ECK1045;yceP;NP_415578.3
b1061,0,0,1121242,1121365,1121487,246,-,CDS,0.479674797,1.41991342,lagging,0,1837157,0.791596182,0.416807637,0.60893709,NE,0,NE,0,29.5178735,7.41,181,dinI;ECK1046;NP_415579.1
b1062,0.00095511,1,1121561,1122084.5,1122607,1047,-,CDS,0.53104107,1.168041719,lagging,0,1837876.5,0.791906201,0.416187599,0.608164244,NE,0,NE,0,34.449871,747,657,pyrC;ECK1047;NP_415580.1
b1063,0,0,1122713,1122993.5,1123273,561,-,CDS,0.468805704,1.103053435,lagging,0,1838785.5,0.792297872,0.415404257,0.607187023,NE,0,NE,0,42.2395095,53.5,681,yceB;ECK1048;NP_415581.1
b1064,0.00154321,1,1123407,1123731,1124054,648,-,CDS,0.490740741,1.340494092,lagging,0,1839523,0.792615646,0.414768707,0.606393497,NE,0,NE,0,128.416626,678,405,grxB;ECK1049;NP_415582.1
b1065,0,0,1124118,1124722.5,1125326,1209,-,CDS,0.553349876,1.133165105,lagging,0,1840514.5,0.793042865,0.41391427,0.605325723,NE,0,NE,0,4.2026995,1.00E-07,0,mdtH;ECK1050;yceL;NP_415583.4
b1066,0,0,1125562,1125854.5,1126146,585,+,CDS,0.494017094,1.093720038,leading,1,1841646.5,0.793530622,0.412938755,0.604105308,NE,0,NE,0,57.2939815,25.6,0,rimJ;ECK1051;tcp;NP_415584.1
b1067,0,0,1126157,1126481,1126804,648,+,CDS,0.518518519,1.261427541,leading,1,1842273,0.793800569,0.412398861,0.603429266,NE,0,NE,0,61.162304,487,654,yceH;ECK1052;NP_415585.1
b1068,0,0,1126806,1127268,1127729,924,+,CDS,0.553030303,1.301005725,leading,1,1843060,0.794139673,0.411720655,0.602579416,NE,0,NE,0,33.3501225,25,15,yceM;ECK1053;mviM;NP_415586.1
b1069,0.000651042,1,1127839,1128607,1129374,1536,+,CDS,0.537109375,1.123641641,leading,1,1844399,0.794716622,0.410566755,0.601131912,E,1,E,1,13.184468,5.42,0,murJ;ECK1054;mviN;yceN;NP_415587.1
b1070,0,0,1129414,1129622.5,1129830,417,-,CDS,0.482014388,1.073677956,lagging,0,1845414.5,0.795154182,0.409691636,0.600032806,NE,0,NE,0,14.6140245,177,1254,flgN;ECK1055;NP_415588.1
b1071,0,0,1129835,1129982,1130128,294,-,CDS,0.527210884,1.422422422,lagging,0,1845774,0.795309084,0.409381832,0.599643436,NE,0,NE,0,19.607542,286,872,flgM;ECK1056;NP_415589.1
b1072,0.001515152,1,1130204,1130534,1130863,660,-,CDS,0.522727273,1.205112599,lagging,0,1846326,0.79554693,0.408906139,0.599045296,NE,0,NE,0,5.712239,7.38,360,flgA;ECK1057;flaU;NP_415590.1
b1073,0,0,1131018,1131226.5,1131434,417,+,CDS,0.534772182,1.311320755,leading,1,1847018.5,0.795845315,0.408309369,0.598294439,NE,0,NE,0,2.0354915,3.26,207,flgB;ECK1058;flbA;NP_415591.1
b1074,0,0,1131438,1131640.5,1131842,405,+,CDS,0.528395062,1.072563559,leading,1,1847432.5,0.7960237,0.4079526,0.5978453,NE,0,NE,0,2.5834215,1.5,243,flgC;ECK1059;flaW;NP_415592.1
b1075,0.001436782,1,1131854,1132202,1132549,696,+,CDS,0.545977011,1.060505319,leading,1,1847994,0.79626564,0.40746872,0.597235841,NE,0,NE,0,3.626779,0.912,2367,flgD;ECK1060;flaV;NP_415593.1
b1076,0,0,1132574,1133178.5,1133782,1209,+,CDS,0.515301902,1.072339109,leading,1,1848970.5,0.796686395,0.406627209,0.596175116,NE,0,NE,0,5.100023,35.6,1935,flgE;ECK1061;flaK;NP_415594.1
b1077,0,0,1133802,1134180,1134557,756,+,CDS,0.591269841,1.144714528,leading,1,1849972,0.797117923,0.405764155,0.595086152,NE,0,NE,0,3.5594295,9.65,113,flgF;ECK1062;flaX;NP_415595.1
b1078,0.001277139,1,1134729,1135120.5,1135511,783,+,CDS,0.537675607,1.007517269,leading,1,1850912.5,0.797523166,0.404953667,0.59406252,NE,0,NE,0,4.9946495,12.4,575,flgG;ECK1063;flaL;NP_415596.1
b1079,0,0,1135564,1135913.5,1136262,699,+,CDS,0.535050072,1.139380594,leading,1,1851705.5,0.797864855,0.40427029,0.593198677,NE,0,NE,0,2.6129475,112,1027,flgH;ECK1064;flaY;NP_415597.1
b1080,0,0,1136274,1136823,1137371,1098,+,CDS,0.541894353,1.071511245,leading,1,1852615,0.798256741,0.403486517,0.592207085,NE,0,NE,0,2.156829,4.02,43,flgI;ECK1065;flaM;NP_415598.3
b1081,0.001061571,1,1137371,1137842,1138312,942,+,CDS,0.54670913,1.080633962,leading,1,1853634,0.798695809,0.402608382,0.591095043,NE,0,NE,0,2.6264215,0.173,0,flgJ;ECK1066;flaZ;NP_415599.1
b1082,0.000608273,1,1138378,1139200,1140021,1644,+,CDS,0.518248175,1.217158769,leading,1,1854992,0.799280946,0.401438109,0.589611301,NE,0,NE,0,5.772793,49.7,423,flgK;ECK1067;flaS;NP_415600.1
b1083,0,0,1140033,1140510,1140986,954,+,CDS,0.507337526,1.143101678,leading,1,1856302,0.7998454,0.4003092,0.588178115,NE,0,NE,0,12.992894,99.9,370,flgL;ECK1068;flaT;NP_415601.1
b1084,0,0,1141182,1142775,1144367,3186,-,CDS,0.556497175,1.240537383,lagging,0,1858567,0.800821346,0.398357309,0.585695765,E,1,E,1,101.6409875,411,1150,rne;ams;ECK1069;hmp1;smbB;NP_415602.1
b1085,0,0,1144502,1144662.5,1144822,321,+,CDS,0.445482866,1.010625738,leading,1,1860454.5,0.801634634,0.396730733,0.583622932,E,1,E,1,111.76408,0.634,0,yceQ;ECK1070;NP_415603.2
b1086,0.003125,3,1144940,1145420,1145899,960,+,CDS,0.514583333,1.364913689,leading,1,1861212,0.801961026,0.396077948,0.582789982,NE,0,NE,0,23.7787045,38.8,217,rluC;ECK1071;yceC;NP_415604.1
b1087,0.001709402,1,1146011,1146303.5,1146595,585,-,CDS,0.500854701,1.229795384,lagging,0,1862095.5,0.802341709,0.395316581,0.581817707,NE,0,NE,0,59.5042835,130,159,yceF;ECK1072;NP_415605.2
b1088,0,0,1146794,1147055,1147315,522,+,CDS,0.496168582,1.281710384,leading,1,1862847,0.802665517,0.394668967,0.580990041,NE,0,NE,0,1002.917206,116,1332,yceD;ECK1074;NP_415606.1
b1089,0,0,1147367,1147454,1147540,174,+,CDS,0.540229885,1.226503759,leading,1,1863246,0.802837438,0.394325124,0.580550357,NE,0,NE,0,1849.276489,2607,66990,rpmF;ECK1075;NP_415607.1
b1090,0,0,1147621,1148156.5,1148691,1071,+,CDS,0.521008403,0.890864429,leading,1,1863948.5,0.803140132,0.393719736,0.579775815,NE,0,NE,0,116.043316,23.3,37,plsX;ECK1076;NP_415608.2
b1091,0.001048218,1,1148759,1149236,1149712,954,+,CDS,0.547169811,1.226329787,leading,1,1865028,0.803605268,0.392789464,0.578584591,NE,0,E,1,186.5457765,747,3150,fabH;ECK1077;NP_415609.1
b1092,0,0,1149728,1150193,1150657,930,+,CDS,0.551612903,1.087719298,leading,1,1865985,0.804017621,0.391964757,0.577527511,E,1,E,1,284.454651,1256,5551,fabD;ECK1078;tfpA;NP_415610.1
b1093,0,0,1150670,1151037.5,1151404,735,+,CDS,0.515646259,1.373831776,leading,1,1866829.5,0.8043815,0.391236999,0.576593891,E,1,E,1,624.960083,1253,9220,fabG;ECK1079;NP_415611.1
b1094,0,0,1151615,1151733.5,1151851,237,+,CDS,0.481012658,1.106442577,leading,1,1867525.5,0.804681394,0.390637213,0.575823876,E,1,NE,0,3121.535767,6028,53955,acpP;ECK1080;NP_415612.1
b1095,0.000805153,1,1151939,1152560,1153180,1242,+,CDS,0.533011272,1.176039052,leading,1,1868352,0.805037517,0.389924966,0.574908819,NE,0,NE,0,248.031784,433,4474,fabF;cvc;ECK1081;fabJ;vtr;vtrB;NP_415613.1
b1096,0,0,1153300,1153705,1154109,810,+,CDS,0.50617284,1.116592904,leading,1,1869497,0.805530876,0.388938249,0.573639947,NE,0,NE,0,19.70973,29.2,0,pabC;ECK1082;NP_415614.1
b1097,0,0,1154112,1154623.5,1155134,1023,+,CDS,0.507331378,1.208424295,leading,1,1870415.5,0.80592664,0.38814672,0.572621083,NE,0,NE,0,20.4419165,6.27,11,mltG;ECK1083;yceG;NP_415615.1
b1098,0.001557632,1,1155124,1155445,1155765,642,+,CDS,0.540498442,1.220125367,leading,1,1871237,0.806280609,0.387438783,0.571709068,E,1,E,1,39.288006,47.6,199,tmk;ECK1084;ycfG;NP_415616.1
b1099,0.000995025,1,1155762,1156264.5,1156766,1005,+,CDS,0.540298507,1.090909091,leading,1,1872056.5,0.806633716,0.386732568,0.570798569,E,1,E,1,27.7846555,8.46,19,holB;ECK1085;NP_415617.1
b1100,0,0,1156777,1157176,1157574,798,+,CDS,0.50877193,1.28005833,leading,1,1872968,0.807026464,0.385947072,0.569785029,NE,0,NE,0,75.148792,34,36,ycfH;ECK1086;NP_415618.1
b1101,0,0,1157869,1158586,1159302,1434,+,CDS,0.526499303,1.137248572,leading,1,1874378,0.807634006,0.384731988,0.568215475,NE,0,NE,0,168.4641035,508,629,ptsG;car;cat;catB2;CR;ECK1087;glcA;gptA;tgl;umg;umgC;NP_415619.1
b1102,0.000456621,1,1159362,1160457,1161551,2190,-,CDS,0.5,1.125190167,lagging,0,1876249,0.808440185,0.383119631,0.56612956,NE,0,NE,0,6.1568045,45.2,2,fhuE;ECK1088;NP_415620.1
b1103,0.002777778,1,1161885,1162065,1162244,360,+,CDS,0.505555556,1.173913043,leading,1,1877857,0.809133041,0.381733917,0.564333952,NE,0,NE,0,142.1784745,866,2081,hinT;ECK1089;ycfF;NP_415621.3
b1104,0,0,1162247,1162436,1162624,378,+,CDS,0.494708995,0.954545455,leading,1,1878228,0.809292898,0.381414203,0.563919287,NE,0,NE,0,106.3112945,13.6,0,ycfL;ECK1090;NP_415622.1
b1105,0,0,1162638,1162959,1163279,642,+,CDS,0.563862928,1.07793754,leading,1,1878751,0.809518249,0.380963502,0.563334491,NE,0,NE,0,107.4109495,155,436,lpoB;ECK1091;ycfM;NP_415623.1
b1106,0,0,1163260,1163672.5,1164084,825,+,CDS,0.533333333,1.264524949,leading,1,1879464.5,0.809825683,0.380348634,0.562536231,NE,0,NE,0,28.105149,12.3,0,thiK;ECK1092;ycfN;NP_415624.1
b1107,0,0,1164095,1164608,1165120,1026,+,CDS,0.530214425,1.212715953,leading,1,1880400,0.810228772,0.379542456,0.561488803,NE,0,NE,0,59.6629105,28.3,195,nagZ;ECK1093;ycfO;NP_415625.1
b1108,0,0,1165143,1165414.5,1165685,543,+,CDS,0.465930018,1.261205273,leading,1,1881206.5,0.810576278,0.378847445,0.560585087,NE,0,E,1,153.090149,482,719,ycfP;ECK1094;NP_415626.4
b1109,0,0,1166085,1166737.5,1167389,1305,+,CDS,0.529501916,1.183733118,leading,1,1882529.5,0.811146333,0.377707334,0.559101164,NE,0,NE,0,67.084488,443,932,ndh;ECK1095;NP_415627.1
b1110,0,0,1167599,1167869,1168138,540,+,CDS,0.537037037,1.161915008,leading,1,1883661,0.811633875,0.37673225,0.557830612,NE,0,NE,0,18.155282,11.9,0,ycfJ;ECK1096;NP_415628.1
b1111,0,0,1168200,1168516.5,1168832,633,-,CDS,0.511848341,1.13401944,lagging,0,1884308.5,0.811912871,0.376174259,0.55710295,NE,0,NE,0,32.3258345,5.29,0,comR;ECK1097;ycfQ;NP_415629.4
b1112,0,0,1169073,1169202,1169330,258,+,CDS,0.472868217,1.179032258,leading,1,1884994,0.81220824,0.375583521,0.556332118,NE,0,NE,0,39.230688,26.9,0,bhsA;comC;ECK1098;ycfR;NP_415630.1
b1113,0,0,1169412,1169893.5,1170374,963,-,CDS,0.53271028,1.200237111,lagging,0,1885685.5,0.812506194,0.374987612,0.555554054,NE,0,NE,0,10.348577,1.8,0,ldtC;ECK1099;ycfS;NP_415631.1
b1114,0.001740644,6,1170518,1172241.5,1173964,3447,-,CDS,0.547722657,1.298027799,lagging,0,1888033.5,0.813517903,0.372964195,0.552908494,NE,0,NE,0,39.9109935,56.2,48,mfd;ECK1100;NP_415632.1
b1115,0.001862197,2,1174092,1174629,1175165,1074,-,CDS,0.495344507,0.971506106,lagging,0,1890421,0.814546631,0.370906738,0.550212701,NE,0,NE,0,1.321596,0.0002,0,ycfT;ECK1101;NP_415633.1
b1116,0,0,1175427,1176027,1176626,1200,+,CDS,0.541666667,1.11544262,leading,1,1891819,0.815149003,0.369701994,0.548631511,E,1,E,1,30.922625,16.3,33,lolC;ECK1102;ycfU;NP_415634.1
b1117,0,0,1176619,1176970,1177320,702,+,CDS,0.551282051,1.037011173,leading,1,1892762,0.815555324,0.368889352,0.547563833,E,1,E,1,36.529087,129,636,lolD;ECK1103;ycfV;NP_415635.4
b1118,0.000803213,1,1177320,1177942.5,1178564,1245,+,CDS,0.518875502,1.226003022,leading,1,1893734.5,0.815974356,0.368051289,0.54646182,E,1,E,1,46.16296,5.65,0,lolE;ECK1104;ycfW;NP_415636.1
b1119,0,0,1178593,1179049,1179504,912,+,CDS,0.527412281,1.181140397,leading,1,1894841,0.816451126,0.367097749,0.545206809,NE,0,NE,0,53.568283,32.5,35,nagK;ECK1105;ycfX;NP_415637.1
b1120,0,0,1179520,1179912.25,1180359,784.5,+,CDS,0.517857143,1.225645867,leading,1,1895704.25,0.816823084,0.366353833,0.544226848,NE,0,NE,0,46.501585,50.8,813,cobB;ECK1106;ycfY;NP_415638.3;YP_010051180.1
b1121,0,0,1180479,1180873.5,1181267,789,-,CDS,0.425855513,1.119188624,lagging,0,1896665.5,0.817237268,0.365525464,0.543134762,NE,0,NE,0,1.114057,0.571,0,ycfZ;ECK1107;NP_415639.1
b1122,0,0,1181264,1181495,1181725,462,-,CDS,0.435064935,1.464052288,lagging,0,1897287,0.817505061,0.364989879,0.54242818,NE,0,NE,0,1.390457,1.00E-07,0,ymfA;ECK1108;NP_415640.2
b1123,0.00095511,1,1181783,1182306.5,1182829,1047,-,CDS,0.508118434,1.125886098,lagging,0,1898098.5,0.817854721,0.364290559,0.54150501,NE,0,E,1,118.224266,699,2826,potD;ECK1109;NP_415641.1
b1124,0.001257862,1,1182826,1183223.5,1183620,795,-,CDS,0.501886792,1.229028334,lagging,0,1899015.5,0.818249839,0.363500323,0.540461035,NE,0,E,1,34.6521875,60.8,45,potC;ECK1110;NP_415642.1
b1125,0,0,1183617,1184031,1184444,828,-,CDS,0.508454106,1.027898158,lagging,0,1899823,0.818597775,0.36280445,0.539541034,NE,0,NE,0,23.609786,4.72,7,potB;ECK1111;NP_415643.3
b1126,0.001759015,2,1184458,1185026.5,1185594,1137,-,CDS,0.508355321,1.172446043,lagging,0,1900818.5,0.819026717,0.361946566,0.538405952,NE,0,NE,0,41.3760645,87.8,345,potA;ECK1112;NP_415644.1
b1127,0.000814996,1,1185844,1186457.5,1187070,1227,+,CDS,0.498777506,1.260249126,leading,1,1902249.5,0.819643308,0.360713384,0.536772596,NE,0,NE,0,57.032894,279,122,pepT;ECK1113;NP_415645.1
b1128,0.000891266,1,1187119,1187680,1188240,1122,-,CDS,0.540106952,1.250030037,lagging,0,1903472,0.82017006,0.35965988,0.535375628,NE,0,E,1,115.7205505,209,725,roxA;ECK1114;ycfD;NP_415646.4
b1129,0,0,1188316,1189046.5,1189776,1461,-,CDS,0.513347023,1.149702398,lagging,0,1904838.5,0.820758859,0.358482282,0.533812374,NE,0,NE,0,44.044012,11.2,0,phoQ;ECK1115;NP_415647.1
b1130,0.001488095,1,1189776,1190112,1190447,672,-,CDS,0.477678571,1.28374269,lagging,0,1905904,0.821217963,0.357564074,0.532592192,NE,0,NE,0,117.3435175,552,2720,phoP;ECK1116;NP_415648.1
b1131,0,0,1190616,1191301.5,1191986,1371,-,CDS,0.52297593,1.24863388,lagging,0,1907093.5,0.821730496,0.356539008,0.531228699,NE,0,NE,0,63.203308,731,935,purB;ade;ade(h);ECK1117;NP_415649.1
b1132,0.001557632,1,1191990,1192311,1192631,642,-,CDS,0.57165109,1.036040882,lagging,0,1908103,0.82216547,0.355669059,0.530070455,NE,0,NE,0,54.447338,62.2,189,hflD;ECK1118;hslZ;ycfC;NP_415650.1
b1133,0,0,1192667,1193220.5,1193773,1107,-,CDS,0.537488708,1.191050557,lagging,0,1909012.5,0.822557357,0.354885287,0.529026098,E,1,E,1,76.7862475,139,753,mnmA;asuE;ECK1119;trmU;ycfB;NP_415651.4
b1134,0,0,1193827,1194058,1194288,462,-,CDS,0.502164502,1.309465205,lagging,0,1909850,0.82291822,0.354163561,0.528063708,NE,0,NE,0,22.4625705,15.5,12,nudJ;ECK1120;ymfB;NP_415652.1
b1135,0,0,1194298,1194625,1194951,654,-,CDS,0.512232416,1.143030389,lagging,0,1910417,0.823162529,0.353674942,0.527411769,NE,0,NE,0,18.835759,3.97,0,rluE;ECK1121;ymfC;NP_415653.4
b1136,0.005595524,7,1195123,1195748.5,1196373,1251,+,CDS,0.501998401,1.109313845,leading,1,1911540.5,0.823646624,0.352706752,0.526119049,NE,0,NE,0,689.328644,4017,21530,icd;ECK1122;icdA;icdE;NP_415654.1
b1137,0.003003003,2,1196867,1197200,1197532,666,-,CDS,0.348348348,0.946093458,lagging,0,1912992,0.824272048,0.351455904,0.524447124,NE,0,NE,0,1.021506,1.56,0,ymfD;ECK1123;NP_415655.1
b1138,0.00141844,1,1197533,1197885.5,1198237,705,-,CDS,0.309219858,0.832489879,lagging,0,1913677.5,0.824567417,0.350865166,0.52365682,NE,0,NE,0,0.8763065,3.38,0,ymfE;ECK1124;NP_415656.1
b1139,0.002237136,2,1198695,1199142,1199588,894,+,CDS,0.368008949,0.561889973,leading,1,1914934,0.825108819,0.349782362,0.522207046,NE,0,NE,0,4.445146,0.306,0,lit;ECK1125;NP_415657.1
b1140,0,0,1199679,1200243,1200806,1128,-,CDS,0.447695035,0.922641331,lagging,0,1916035,0.825583219,0.348833562,0.52093545,NE,0,NE,0,3.6790845,2.55,0,intE;ECK1126;int(Lambda);ycfI;NP_415658.1
b1141,0,0,1200787,1200910,1201032,246,-,CDS,0.443089431,0.928620453,lagging,0,1916702,0.825870617,0.348258766,0.520164537,NE,0,NE,0,4.245363,2.43,0,xisE;ECK1127;ymfG;NP_415659.1
b1143,0,0,1201497,1201668,1201838,342,+,CDS,0.385964912,1.032273044,leading,1,1917460,0.826197225,0.347605551,0.519287933,NE,0,E,1,23.1274165,1.00E-07,0,ymfI;ECK1129;NP_415661.2
b1144,0,0,1201776,1201930.5,1202084,309,-,CDS,0.469255663,0.891346154,lagging,0,1917722.5,0.826310331,0.347379338,0.518984232,NE,0,E,1,11.3675035,1.58,0,ymfJ;ECK1130;NP_415662.2
b1145,0,0,1202259,1202596.5,1202933,675,-,CDS,0.444444444,0.75083426,lagging,0,1918388.5,0.826597298,0.346805405,0.518213406,NE,0,E,1,31.706868,2.75,0,ymfK;cohE;ECK1131;NP_415663.1
b1146,0,0,1203024,1203124.5,1203224,201,+,CDS,0.427860697,0.767594108,leading,1,1918916.5,0.826824803,0.346350394,0.517602001,NE,0,E,1,4.524624,0.372,0,ymfT;croE;ECK1132;NP_415664.2
b1147,0.001792115,1,1203268,1203547,1203825,558,+,CDS,0.496415771,1.123331214,leading,1,1919339,0.82700685,0.3459863,0.517112571,NE,0,NE,0,4.7615235,1.00E-07,0,ymfL;ECK1133;NP_415665.2
b1148,0,0,1203822,1203991.5,1204160,339,+,CDS,0.498525074,0.959252971,leading,1,1919783.5,0.827198377,0.345603246,0.516597473,NE,0,NE,0,2.316557,1.00E-07,0,ymfM;ECK1134;sfiC;NP_415666.1
b1150,0,0,1205549,1205640.5,1205731,183,+,CDS,0.601092896,1.071280992,leading,1,1921432.5,0.8279089,0.344182201,0.514684937,NE,0,NE,0,0,1.00E-07,0,ymfR;ECK1136;NP_415668.1
b1153,0,0,1206913,1207205.5,1207497,585,+,CDS,0.572649573,1.063636364,leading,1,1922997.5,0.828583229,0.342833543,0.512867454,NE,0,NE,0,0,1.44,0,ymfQ;ECK1139;NP_415671.1
b1154,0.006349206,4,1207501,1207816,1208130,630,+,CDS,0.503174603,1.018511034,leading,1,1923608,0.828846281,0.342307437,0.512157837,NE,0,NE,0,0,0.337,0,ycfK;ECK1140;stfP;NP_415672.1
b1155,0,0,1208132,1208339,1208545,414,+,CDS,0.420289855,0.669090909,leading,1,1924131,0.829071632,0.341856735,0.511549647,NE,0,NE,0,0.578131,1.00E-07,0,tfaP;ECK1141;ymfS;NP_415673.1
b1156,0,0,1208517,1208818.5,1209119,603,-,CDS,0.47761194,0.902171815,lagging,0,1924610.5,0.82927824,0.341443521,0.510991818,NE,0,NE,0,1.2558645,0.036,0,tfaE;ECK1142;ycfA;NP_415674.1
b1158,0,0,1209685,1209962.5,1210239,555,+,CDS,0.488288288,0.872641509,leading,1,1925754.5,0.829771168,0.340457665,0.50966007,NE,0,NE,0,0,0.453,0,pinE;ECK1144;pin;NP_415676.1
