Gene,Start,End,Length (nt),Strand,Locus Tag,CDS,Pseudo,PEC,Gerdes,LB medium,,,,,M9 glucose (0.2%) medium,,,,
trpD,1319789,1321384,1596,-,b1263,Y,N,NE,NE,698,182.33 ,683,193.97 ,NE,40,1.84,30,1.50,E
trpE,1321384,1322946,1563,-,b1264,Y,N,NE,NE,484,129.10 ,357,103.43 ,NE,12,0.56,12,0.61,E
trpL,1323038,1323082,45,-,b1265,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,1,1.63,1,1.79,E
yciV,1323220,1324101,882,+,b1266,Y,N,NE,NE,535,252.88 ,518,266.61 ,NE,1528,127.41,1359,123.39,NE
yciO,1324098,1324718,621,+,b1267,Y,N,NE,NE,98,65.79 ,98,71.30 ,NE,1488,176.22,1479,189.83,NE
yciQ,1324746,1326641,1896,+,b1268,Y,N,NE,NE,843,185.36 ,805,192.43 ,NE,10619,411.91,10232,431.49,NE
rluB,1326852,1327727,876,+,b1269,Y,N,NE,E,249,118.50 ,238,123.41 ,NE,285,23.93,282,25.80,NE
btuR,1327767,1328357,591,-,b1270,Y,N,NE,E,39,27.51 ,38,29.18 ,NE,567,70.56,543,73.55,NE
yciK,1328354,1329112,759,-,b1271,Y,N,NE,E,130,71.41 ,119,70.97 ,NE,1213,117.54,1164,122.47,NE
sohB,1329332,1330381,1050,+,b1272,Y,N,NE,NE,851,337.89 ,851,367.27 ,NE,5796,405.97,5792,440.97,NE
yciN,1330417,1330668,252,-,b1273,Y,N,NE,NE,12,19.85 ,12,21.56 ,NE,33,9.63,33,10.46,NE
topA,1331048,1333645,2598,+,b1274,Y,N,E,E,40,6.42 ,39,6.80 ,NE,48,1.36,46,1.42,E
cysB,1333855,1334829,975,+,b1275,Y,N,NE,NE,19,8.12 ,17,7.92 ,NE,22,1.66,22,1.81,E
ymiA,1335124,1335288,165,+,b4522,Y,N,NE,NE,4,10.11 ,3,8.17 ,NE,113,50.37,74,35.57,NE
yciX,1335291,1335458,168,+,b4523,Y,N,NE,NE,8,19.85 ,7,18.71 ,NE,85,37.21,85,40.07,NE
acnA,1335831,1338506,2676,+,b1276,Y,N,NE,NE,686,106.87 ,676,114.56 ,NE,1687,46.36,1656,49.51,NE
ribA,1338570,1339160,591,-,b1277,Y,N,E,E,0,0.00 ,0,0.00 ,E,1,0.12,1,0.14,E
pgpB,1339330,1340094,765,+,b1278,Y,N,NE,NE,347,189.10 ,332,196.33 ,NE,1654,159.01,1654,172.54,NE
yciS,1340243,1340551,309,+,b1279,Y,N,NE,E,2,2.70 ,2,2.93 ,NE,12,2.86,12,3.10,NE
yciM,1340558,1341727,1170,+,b1280,Y,N,NE,NE,4,1.43 ,0,0.00 ,E,39,2.45,12,0.82,E
pyrF,1341921,1342658,738,+,b1281,Y,N,NE,E,332,187.55 ,331,203.53 ,NE,50,4.98,46,4.99,NE
yciH,1342658,1342984,327,+,b1282,Y,N,NE,NE,7,8.92 ,6,8.37 ,NE,5,1.12,5,1.23,E
osmB,1343110,1343328,219,-,b1283,Y,N,NE,NE,26,49.49 ,26,53.40 ,NE,335,112.50,335,121.37,NE
yciT,1343597,1344346,750,-,b1284,Y,N,NE,NE,65,36.13 ,64,38.67 ,NE,348,34.12,233,24.83,NE
yciZ,1344436,1344609,174,-,b4596,Y,N,NE,NE,16,38.34 ,16,41.18 ,NE,65,27.47,64,29.05,NE
gmr,1344757,1346742,1986,-,b1285,Y,N,NE,NE,309,64.86 ,303,69.18 ,NE,599,22.18,512,20.62,NE
ymiB,1346796,1346900,105,+,b4672,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
rnb,1346978,1348912,1935,-,b1286,Y,N,NE,NE,96,20.68 ,87,20.39 ,NE,282,10.72,281,11.62,NE
yciW,1348980,1350107,1128,-,b1287,Y,N,NE,NE,137,50.63 ,112,45.07 ,NE,1951,127.20,1917,136.09,NE
fabI,1350251,1351039,789,-,b1288,Y,N,E,E,2,1.06 ,2,1.15 ,E,12,1.12,9,0.91,E
ycjD,1351407,1351760,354,-,b1289,Y,N,NE,NE,62,73.02 ,38,48.60 ,NE,1780,369.80,1723,388.71,NE
sapF,1351828,1352634,807,-,b1290,Y,N,NE,NE,30,15.50 ,28,15.71 ,NE,85,7.75,81,8.02,NE
sapD,1352636,1353628,993,-,b1291,Y,N,NE,NE,15,6.30 ,11,5.02 ,NE,33,2.44,33,2.66,NE
sapC,1353628,1354518,891,-,b1292,Y,N,NE,NE,488,228.34 ,484,246.37 ,NE,401,33.10,372,33.41,NE
sapB,1354505,1355470,966,-,b1293,Y,N,NE,NE,59,25.46 ,54,25.29 ,NE,216,16.44,189,15.62,NE
sapA,1355467,1357110,1644,-,b1294,Y,N,NE,NE,402,101.94 ,383,105.60 ,NE,3510,157.02,3467,168.64,NE
ymjA,1357423,1357668,246,-,b1295,Y,N,NE,NE,98,166.08 ,92,169.71 ,NE,1510,451.43,1464,476.42,NE
puuP,1357802,1359187,1386,-,b1296,Y,N,NE,NE,811,243.94 ,787,257.53 ,NE,3212,170.44,3195,184.44,NE
puuA,1359490,1360908,1419,-,b1297,Y,N,NE,NE,1616,474.78 ,1607,512.59 ,NE,8055,417.48,8045,452.69,NE
puuD,1361120,1361884,765,+,b1298,Y,N,NE,NE,167,91.01 ,154,91.07 ,NE,2644,254.19,2545,265.49,NE
puuR,1361911,1362468,558,+,b1299,Y,N,NE,NE,111,82.93 ,108,87.60 ,NE,398,52.46,397,56.80,NE
puuC,1362743,1364230,1488,+,b1300,Y,N,NE,NE,1642,460.05 ,1628,496.13 ,NE,7150,353.39,6921,372.08,NE
puuB,1364232,1365512,1281,+,b1301,Y,N,NE,NE,449,146.13 ,438,155.14 ,NE,1996,114.59,1989,124.28,NE
puuE,1365550,1366815,1266,+,b1302,Y,N,NE,NE,494,162.68 ,493,176.27 ,NE,2149,124.84,2149,135.55,NE
pspF,1366935,1367912,978,-,b1303,Y,N,NE,NE,282,120.21 ,260,120.71 ,NE,1098,82.57,1096,89.76,NE
pspA,1368079,1368747,669,+,b1304,Y,N,NE,NE,168,104.69 ,168,113.52 ,NE,536,58.92,536,63.89,NE
pspB,1368801,1369025,225,+,b1305,Y,N,NE,NE,4,7.41 ,1,1.99 ,E,33,10.79,20,7.04,NE
pspC,1369025,1369384,360,+,b1306,Y,N,NE,E,34,39.37 ,30,37.67 ,NE,444,90.71,421,93.26,NE
pspD,1369393,1369614,222,+,b1307,Y,N,NE,NE,251,471.36 ,156,315.71 ,NE,2427,804.03,2405,858.62,NE
pspE,1369689,1370003,315,+,b1308,Y,N,NE,E,53,70.14 ,52,74.50 ,NE,57,13.31,57,14.41,NE
ycjM,1370216,1371895,1680,+,b1309,Y,N,NE,NE,148,36.73 ,148,39.96 ,NE,1193,52.23,1190,56.68,NE
ycjN,1371909,1373201,1293,+,b1310,Y,N,NE,NE,105,33.85 ,78,27.35 ,NE,1005,57.16,600,37.11,NE
ycjO,1373222,1374103,882,+,b1311,Y,N,NE,NE,2075,980.80 ,2059,1059.75 ,NE,6678,556.84,6595,598.80,NE
ycjP,1374090,1374932,843,+,b1312,Y,N,NE,NE,364,180.01 ,336,180.75 ,NE,894,77.99,449,42.61,NE
ycjQ,1374963,1376015,1053,+,b1313,Y,N,NE,NE,842,333.36 ,722,310.63 ,NE,2281,159.31,2207,167.51,NE
ycjR,1376034,1376822,789,+,b1314,Y,N,NE,NE,96,50.73 ,85,48.88 ,NE,247,23.02,177,17.96,NE
ycjS,1376832,1377887,1056,+,b1315,Y,N,NE,NE,219,86.46 ,197,84.49 ,NE,1673,116.52,1640,124.09,NE
ycjT,1377884,1380151,2268,+,b1316,Y,N,NE,NE,1005,184.74 ,825,164.72 ,NE,3822,123.94,3510,123.63,NE
ycjU,1380148,1380807,660,+,b1317,Y,N,NE,NE,131,82.75 ,131,89.83 ,NE,1056,117.67,1054,127.49,NE
ycjV,1380821,1381902,1082,+,b4524,Y,Y,NE,NE,56,21.58 ,55,23.07 ,NE,1265,85.98,1249,92.41,NE
ompG,1381947,1382852,906,+,b1319,Y,N,NE,NE,204,93.87 ,190,94.98 ,NE,1873,152.04,1848,162.96,NE
ycjW,1382963,1383961,999,-,b1320,Y,N,NE,NE,404,168.60 ,223,101.16 ,NE,1570,115.58,1397,111.80,NE
ycjX,1384117,1385514,1398,+,b1321,Y,N,NE,NE,881,262.72 ,871,282.36 ,NE,3977,209.22,3948,225.78,NE
ycjF,1385511,1386572,1062,+,b1322,Y,N,NE,E,1029,403.94 ,1021,435.23 ,NE,9282,642.79,9235,694.47,NE
tyrR,1386720,1388261,1542,+,b1323,Y,N,NE,NE,159,42.99 ,157,46.16 ,NE,767,36.58,758,39.31,NE
tpx,1388305,1388811,507,-,b1324,Y,N,NE,NE,39,32.07 ,36,32.14 ,NE,77,11.17,48,7.56,NE
ycjG,1388930,1389895,966,+,b1325,Y,N,NE,NE,421,181.69 ,414,193.93 ,NE,3481,265.02,3470,286.74,NE
mpaA,1389870,1390598,729,-,b1326,Y,N,NE,E,462,264.21 ,452,281.67 ,NE,3747,378.02,3569,392.35,NE
ymjC,1390725,1390862,138,-,b4525,Y,Y,NE,NE,7,21.15 ,7,23.16 ,NE,58,30.91,17,9.92,NE
ymjD,1390868,1390933,66,-,b4673,Y,Y,NE,NE,10,63.17 ,10,67.24 ,NE,167,186.09,167,198.10,NE
ycjY,1390933,1391853,921,-,b1327,Y,N,NE,NE,59,26.71 ,57,27.99 ,NE,407,32.50,379,32.83,NE
pgrR,1391991,1392890,900,+,b1328,Y,N,NE,NE,165,76.43 ,163,82.07 ,NE,2681,219.08,2650,235.38,NE
mppA,1393227,1394840,1614,+,b1329,Y,N,NE,NE,699,180.55 ,670,187.97 ,NE,4324,197.03,4265,211.08,NE
ynaI,1394891,1395922,1032,-,b1330,Y,N,NE,NE,237,95.74 ,218,95.87 ,NE,2683,191.20,2589,200.85,NE
insH1,1396076,1397092,1017,+,b1331,Y,N,NE,NE,673,275.88 ,666,296.32 ,NE,5431,392.75,5374,421.80,NE
ynaJ,1397365,1397622,258,+,b1332,Y,N,NE,E,18,29.09 ,18,31.53 ,NE,226,64.42,226,69.84,NE
uspE,1397672,1398622,951,-,b1333,Y,N,NE,NE,113,49.54 ,88,41.93 ,NE,679,52.51,480,40.34,NE
fnr,1398774,1399526,753,-,b1334,Y,N,NE,NE,53,29.34 ,47,28.27 ,NE,740,72.28,640,67.92,NE
ogt,1399721,1400236,516,-,b1335,Y,N,NE,NE,52,42.01 ,52,45.54 ,NE,168,23.94,168,25.96,NE
abgT,1400247,1401773,1527,-,b1336,Y,N,NE,NE,103,28.12 ,88,26.15 ,NE,2282,109.91,2250,117.94,NE
abgB,1401810,1403255,1446,-,b1337,Y,N,NE,NE,197,56.80 ,193,60.50 ,NE,1241,63.12,1170,64.70,NE
abgA,1403255,1404565,1311,-,b1338,Y,N,NE,NE,1008,320.54 ,1008,348.16 ,NE,5413,303.66,5411,329.70,NE
abgR,1404741,1405649,909,+,b1339,Y,N,NE,NE,50,22.93 ,49,24.41 ,NE,281,22.74,275,24.16,NE
mcaS,1405656,1405751,96,-,b4426,N,N,NE,NE,2,8.69 ,2,9.47 ,NE,17,13.02,17,14.21,NE
smrA,1405979,1406542,564,+,b1340,Y,N,NE,E,881,651.22 ,810,649.40 ,NE,1047,136.53,1024,144.83,NE
ydaM,1406563,1407795,1233,-,b1341,Y,N,NE,NE,178,60.18 ,164,60.35 ,NE,351,20.94,294,19.08,NE
ydaN,1408050,1409033,984,+,b1342,Y,N,NE,NE,2045,866.42 ,2034,938.02 ,NE,5657,422.81,5492,446.80,NE
fnrS,1409129,1409250,122,+,b4699,N,N,NE,NE,3,10.25 ,3,10.97 ,NE,2,1.21,2,1.29,E
dbpA,1409511,1410884,1374,+,b1343,Y,N,NE,NE,265,80.41 ,260,85.62 ,NE,1769,94.69,1753,101.84,NE
ttcA,1411013,1411948,936,-,b1344,Y,N,NE,NE,238,106.01 ,226,109.56 ,NE,1946,152.90,1942,166.07,NE
intR,1412000,1413235,1236,-,b1345,Y,N,NE,NE,109,36.77 ,103,37.80 ,NE,549,32.67,417,27.00,NE
ydaQ,1413237,1413452,216,-,b1346,Y,N,NE,NE,5,9.65 ,5,10.42 ,NE,39,13.28,39,14.34,NE
ydaC,1413531,1413740,210,-,b1347,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
ralA,1413556,1413734,179,+,b4714,N,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
ralR,1413733,1413927,195,-,b1348,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
recT,1413984,1414793,810,-,b1349,Y,N,NE,NE,89,45.81 ,89,49.74 ,NE,888,80.63,888,87.54,NE
recE,1414786,1417386,2601,-,b1350,Y,N,NE,NE,328,52.57 ,326,56.79 ,NE,3621,102.39,3500,107.57,NE
racC,1417488,1417763,276,-,b1351,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,1,0.27,1,0.29,E
ydaE,1417838,1418008,171,-,b4526,Y,N,NE,NE,1,2.44 ,1,2.62 ,NE,0,0.00,0,0.00,E
kilR,1418008,1418229,222,-,b1352,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,1,0.33,1,0.36,E
sieB,1418671,1419159,489,+,b1353,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
ydaF,1419156,1419311,156,-,b4527,Y,N,NE,NE,3,8.02 ,3,8.69 ,NE,25,11.79,25,12.77,NE
ydaG,1419322,1419456,135,-,b1355,Y,N,NE,NE,3,9.26 ,3,10.17 ,NE,7,3.81,7,4.19,NE
racR,1419765,1420241,477,-,b1356,Y,N,NE,E,3,2.62 ,2,1.91 ,E,2,0.31,1,0.17,E
ydaS,1420365,1420661,297,+,b1357,Y,N,NE,E,12,16.84 ,8,12.22 ,NE,8,1.98,8,2.16,E
ydaT,1420684,1421106,423,+,b1358,Y,N,NE,E,28,27.60 ,23,24.52 ,NE,44,7.65,44,8.28,NE
ydaU,1421119,1421976,858,+,b1359,Y,N,NE,E,30,14.58 ,29,15.30 ,NE,397,34.03,392,36.49,NE
ydaV,1421983,1422729,747,+,b1360,Y,N,NE,NE,56,31.25 ,56,33.98 ,NE,516,50.80,515,55.13,NE
ydaW,1422701,1423200,500,+,b1361,Y,Y,NE,NE,77,64.20 ,73,66.16 ,NE,1013,149.00,1001,160.04,NE
rzpR,1423201,1423644,444,+,b1362,Y,Y,NE,NE,45,42.25 ,43,43.94 ,NE,935,154.88,933,168.18,NE
rzoR,1423400,1423585,186,+,b4528,Y,N,NE,NE,25,56.03 ,23,56.40 ,NE,244,96.48,244,105.56,NE
trkG,1423782,1425239,1458,+,b1363,Y,N,NE,NE,2,0.57 ,2,0.62 ,E,26,1.31,26,1.42,E
ynaK,1425377,1425640,264,+,b1365,Y,N,NE,NE,104,164.23 ,103,175.99 ,NE,586,163.25,530,159.75,NE
ydaY,1425630,1426082,453,+,b1366,Y,Y,NE,NE,203,186.82 ,197,196.95 ,NE,10127,1644.13,10088,1779.19,NE
tmpR,1426454,1427386,933,+,b1368,Y,Y,NE,NE,15,6.70 ,15,7.30 ,NE,409,32.24,409,35.10,NE
lomR,1427389,1428984,1596,+,b4570,Y,Y,NE,NE,540,141.06 ,523,148.53 ,NE,1542,71.06,1479,74.10,NE
insH1,1427746,1428726,981,-,b1370,Y,N,NE,E,487,206.96 ,481,222.56 ,NE,1272,95.36,1244,101.54,NE
stfR,1429049,1432411,3363,+,b1372,Y,N,NE,NE,670,83.06 ,628,84.59 ,NE,4971,108.71,4642,110.31,NE
tfaR,1432411,1432986,576,+,b1373,Y,N,NE,NE,109,78.89 ,106,83.70 ,NE,3550,453.27,3532,491.97,NE
pinR,1433084,1433674,591,-,b1374,Y,N,NE,NE,2,1.41 ,2,1.54 ,E,9,1.12,7,0.95,E
ynaE,1433991,1434224,234,-,b1375,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,4,1.26,4,1.37,E
ttcC,1434958,1435008,51,-,b4638,Y,Y,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
uspF,1435185,1435619,435,-,b1376,Y,N,NE,NE,30,28.75 ,30,31.35 ,NE,832,140.67,831,153.17,NE
ompN,1435760,1436893,1134,-,b1377,Y,N,NE,NE,92,33.82 ,91,36.41 ,NE,913,59.21,913,64.44,NE
micC,1437121,1437229,109,+,b4427,N,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
pfo,1437260,1440784,3525,-,b1378,Y,N,NE,NE,500,59.13 ,497,63.85 ,NE,4407,91.95,4401,99.74,NE
ydbJ,1441058,1441324,267,+,b4529,Y,N,NE,NE,8,12.49 ,8,13.50 ,NE,138,38.01,137,40.79,NE
hslJ,1441321,1441743,423,-,b1379,Y,N,NE,E,126,124.18 ,126,134.35 ,NE,946,164.48,938,176.43,NE
ldhA,1441854,1442843,990,-,b1380,Y,N,NE,NE,223,93.91 ,221,101.25 ,NE,965,71.69,957,77.34,NE
ydbH,1443051,1445690,2640,+,b1381,Y,N,NE,NE,1558,246.03 ,1427,245.02 ,NE,10135,282.34,9512,288.12,NE
ynbE,1445687,1445872,186,+,b1382,Y,N,NE,NE,23,51.55 ,23,56.40 ,NE,107,42.31,100,43.26,NE
ydbL,1445880,1446206,327,+,b1383,Y,N,NE,NE,6,7.65 ,6,8.37 ,NE,28,6.30,28,6.89,NE
feaR,1446378,1447283,906,-,b1384,Y,N,NE,NE,190,87.43 ,190,94.98 ,NE,810,65.75,809,71.34,NE
feaB,1447519,1449018,1500,+,b1385,Y,N,NE,NE,1429,397.17 ,1310,395.75 ,NE,8761,429.55,8285,441.54,NE
tynA,1449076,1451349,2274,-,b1386,Y,N,NE,NE,266,48.77 ,258,51.37 ,NE,1096,35.45,1090,38.28,NE
paaZ,1451597,1453642,2046,-,b1387,Y,N,NE,NE,428,87.21 ,410,90.82 ,NE,8847,318.01,8831,345.10,NE
paaA,1453927,1454856,930,+,b1388,Y,N,NE,NE,228,102.21 ,224,109.35 ,NE,1090,86.20,1035,89.13,NE
paaB,1454868,1455155,288,+,b1389,Y,N,NE,NE,86,124.49 ,81,127.91 ,NE,176,44.94,147,40.95,NE
paaC,1455164,1455910,747,+,b1390,Y,N,NE,E,370,206.50 ,364,220.89 ,NE,1026,101.01,907,97.10,NE
paaD,1455925,1456422,498,+,b1391,Y,N,NE,NE,215,179.99 ,210,191.15 ,NE,754,111.35,609,97.79,NE
paaE,1456430,1457500,1071,+,b1392,Y,N,NE,NE,216,84.08 ,204,86.17 ,NE,2131,146.33,1910,142.32,NE
paaF,1457497,1458264,768,+,b1393,Y,N,NE,NE,529,287.16 ,513,302.08 ,NE,4778,457.55,4722,490.51,NE
paaG,1458264,1459052,789,+,b1394,Y,N,NE,NE,558,294.84 ,547,314.54 ,NE,2366,220.54,2326,235.95,NE
paaH,1459054,1460481,1428,+,b1395,Y,N,NE,NE,1164,339.83 ,1138,361.61 ,NE,6144,316.43,5998,336.22,NE
paaI,1460471,1460893,423,+,b1396,Y,N,NE,NE,159,156.71 ,157,167.40 ,NE,1020,177.34,996,187.34,NE
paaJ,1460893,1462098,1206,+,b1397,Y,N,NE,NE,900,311.12 ,811,304.60 ,NE,4712,287.35,3745,248.13,NE
paaK,1462125,1463438,1314,+,b1398,Y,N,NE,NE,391,124.05 ,264,90.96 ,NE,1813,101.47,1669,101.44,NE
paaX,1463539,1464489,951,+,b1399,Y,N,NE,E,305,133.71 ,303,144.37 ,NE,2517,194.65,2468,207.44,NE
paaY,1464471,1465061,591,+,b1400,Y,N,NE,E,53,37.39 ,46,35.32 ,NE,86,10.70,73,9.89,NE
ynbG,1465165,1465230,66,-,b4674,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
ydbA,1465392,1474013,8622,+,b4492,Y,Y,NE,NE,1267,61.26 ,1220,64.11 ,NE,12405,105.81,12051,111.71,NE
insD1,1467921,1468826,906,-,b1402,Y,N,NE,NE,195,89.73 ,194,96.98 ,NE,1226,99.52,1157,102.03,NE
insC1,1468784,1469149,366,-,b1403,Y,N,NE,NE,35,39.87 ,35,43.17 ,NE,294,59.08,292,63.54,NE
insI1,1469358,1470509,1152,+,b1404,Y,N,NE,NE,18,6.51 ,18,7.08 ,NE,61,3.89,61,4.23,NE
ydbC,1474221,1475081,861,+,b1406,Y,N,NE,NE,380,184.00 ,374,196.62 ,NE,2423,206.97,2420,224.44,NE
ydbD,1475144,1477450,2307,+,b1407,Y,N,NE,NE,112,20.24 ,83,16.30 ,NE,3004,95.76,2784,96.44,NE
ynbA,1477621,1478226,606,+,b1408,Y,N,NE,NE,10,6.88 ,10,7.47 ,NE,88,10.68,88,11.60,NE
ynbB,1478226,1479122,897,+,b1409,Y,N,NE,NE,3,1.39 ,3,1.52 ,E,17,1.39,15,1.34,E
ynbC,1479138,1480895,1758,+,b1410,Y,N,NE,NE,620,147.03 ,585,150.73 ,NE,4827,201.94,4817,218.95,NE
ynbD,1480909,1482201,1293,+,b1411,Y,N,NE,NE,784,252.78 ,761,266.83 ,NE,3416,194.30,3350,207.21,NE
azoR,1482255,1482860,606,-,b1412,Y,N,NE,E,99,68.11 ,98,73.22 ,NE,862,104.61,862,113.61,NE
hrpA,1483061,1486963,3903,+,b1413,Y,N,NE,NE,1065,113.76 ,1048,121.67 ,NE,8590,161.86,8444,172.94,NE
ydcF,1487235,1488035,801,+,b1414,Y,N,NE,NE,77,40.08 ,73,41.29 ,NE,401,36.82,378,37.72,NE
aldA,1488232,1489671,1440,+,b1415,Y,N,NE,NE,120,34.74 ,118,37.16 ,NE,1987,101.48,1982,110.10,NE
gapC,1489713,1490713,1001,-,b4493,Y,Y,NE,NE,23,9.58 ,19,8.60 ,NE,124,9.11,123,9.82,NE
cybB,1490902,1491432,531,+,b1418,Y,N,NE,NE,48,37.69 ,43,36.81 ,NE,455,63.02,305,46.06,NE
rydC,1491443,1491506,64,-,b4597,N,N,NE,NE,4,26.06 ,4,27.79 ,NE,31,35.62,31,38.00,NE
ydcA,1491677,1491850,174,+,b1419,Y,N,NE,NE,1,2.40 ,1,2.57 ,NE,85,35.93,85,38.59,NE
hokB,1491922,1492071,150,-,b4428,Y,N,NE,NE,5,13.90 ,3,9.06 ,NE,2,0.98,2,1.07,E
mokB,1491962,1492129,168,-,b1420,Y,N,NE,NE,5,12.41 ,5,13.36 ,NE,2,0.88,2,0.94,E
sokB,1492119,1492174,56,+,b4429,N,N,NE,NE,3,22.33 ,0,0.00 ,E,1,1.31,1,1.41,E
trg,1492470,1494110,1641,+,b1421,Y,N,NE,E,183,46.49 ,182,50.28 ,NE,1646,73.77,1640,79.93,NE
ydcI,1494148,1495071,924,-,b1422,Y,N,NE,NE,445,200.78 ,445,217.75 ,NE,814,64.79,814,70.26,NE
ydcJ,1495288,1496631,1344,+,b1423,Y,N,NE,NE,252,78.17 ,249,83.99 ,NE,2439,133.46,2424,144.23,NE
opgD,1496856,1498511,1656,+,b1424,Y,N,NE,NE,1264,318.21 ,1255,343.31 ,NE,4986,221.43,4841,233.62,NE
ydcH,1498651,1498875,225,+,b1426,Y,N,NE,NE,8,14.82 ,6,11.97 ,NE,38,12.42,20,7.04,NE
rimL,1498938,1499477,540,+,b1427,Y,N,NE,E,52,40.15 ,44,36.98 ,NE,514,70.00,497,73.69,NE
ydcK,1499469,1500449,981,-,b1428,Y,N,NE,NE,146,62.05 ,119,55.06 ,NE,1397,104.73,1195,97.54,NE
tehA,1500573,1501565,993,+,b1429,Y,N,NE,NE,427,179.27 ,415,189.50 ,NE,6311,467.41,6278,505.71,NE
tehB,1501562,1502155,594,+,b1430,Y,N,NE,NE,150,105.28 ,149,113.77 ,NE,575,71.19,573,77.18,NE
ydcL,1502457,1503125,669,+,b1431,Y,N,NE,NE,307,191.31 ,307,207.44 ,NE,2607,286.59,2601,310.03,NE
insP,1503218,1503649,432,-,b4578,Y,Y,NE,NE,4,3.86 ,3,3.16 ,NE,62,10.56,59,10.96,NE
insQ,1503717,1504865,1149,+,b1432,Y,N,NE,NE,643,233.30 ,642,253.22 ,NE,3381,216.41,3369,234.41,NE
ydcO,1504905,1506080,1176,-,b1433,Y,N,NE,NE,654,231.85 ,643,248.21 ,NE,4521,282.74,4101,279.27,NE
ydcN,1506172,1506708,537,+,b1434,Y,N,NE,E,67,52.02 ,64,54.12 ,NE,158,21.64,143,21.33,NE
ydcP,1506781,1508742,1962,+,b1435,Y,N,NE,NE,824,175.09 ,803,185.37 ,NE,2898,108.63,2383,97.04,NE
yncJ,1508834,1509064,231,-,b1436,Y,N,NE,NE,12,21.66 ,1,1.98 ,E,14,4.46,14,4.88,NE
hicA,1509286,1509462,177,+,b4532,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
hicB,1509508,1509924,417,+,b1438,Y,N,NE,E,19,19.00 ,18,19.49 ,NE,207,36.51,74,14.14,NE
ydcR,1510003,1511409,1407,+,b1439,Y,N,NE,NE,608,180.15 ,606,195.09 ,NE,2502,130.78,2500,141.98,NE
ydcS,1511654,1512799,1146,+,b1440,Y,N,NE,NE,87,31.65 ,84,33.23 ,NE,931,59.75,910,63.50,NE
ydcT,1512817,1513830,1014,+,b1441,Y,N,NE,E,83,34.12 ,45,20.09 ,NE,3359,243.63,3209,252.68,NE
ydcU,1513831,1514772,942,+,b1442,Y,N,NE,E,497,219.96 ,473,227.71 ,NE,3252,253.89,3176,269.72,NE
ydcV,1514762,1515556,795,+,b1443,Y,N,NE,E,1199,628.76 ,1190,678.67 ,NE,2500,231.27,2499,251.42,NE
patD,1515578,1517002,1425,+,b1444,Y,N,NE,NE,1181,345.51 ,1175,373.08 ,NE,3861,199.27,3796,212.63,NE
yncL,1517099,1517194,96,-,b4598,Y,N,NE,NE,6,26.06 ,6,28.42 ,NE,123,94.23,123,102.80,NE
ydcX,1517389,1517562,174,+,b1445,Y,N,NE,NE,3,7.19 ,3,7.72 ,NE,2,0.85,2,0.91,E
ydcY,1517648,1517881,234,+,b1446,Y,N,NE,NE,24,42.76 ,24,46.76 ,NE,55,17.29,38,13.06,NE
ydcZ,1517882,1518331,450,-,b1447,Y,N,NE,E,106,98.20 ,105,105.74 ,NE,498,81.39,456,81.01,NE
mnaT,1518328,1518846,519,-,b1448,Y,N,NE,E,40,32.13 ,40,34.81 ,NE,236,33.44,236,36.24,NE
curA,1519027,1520064,1038,+,b1449,Y,N,NE,NE,146,58.64 ,141,61.62 ,NE,797,56.47,789,60.82,NE
mcbR,1520262,1520927,666,+,b1450,Y,N,NE,NE,4,2.50 ,4,2.72 ,NE,43,4.75,43,5.15,NE
yncD,1520963,1523065,2103,-,b1451,Y,N,NE,NE,253,50.15 ,251,54.08 ,NE,3302,115.48,3287,124.93,NE
yncE,1523307,1524368,1062,+,b1452,Y,N,NE,E,138,54.17 ,137,58.40 ,NE,484,33.52,481,36.17,NE
ansP,1524481,1525980,1500,-,b1453,Y,N,NE,NE,211,58.64 ,207,62.53 ,NE,1085,53.20,1059,56.44,NE
yncG,1526247,1526864,618,+,b1454,Y,N,NE,NE,24,16.19 ,23,16.82 ,NE,143,17.02,141,18.19,NE
yncH,1526940,1527152,213,+,b1455,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
rhsE,1527902,1529938,2037,+,b1456,Y,Y,NE,NE,1986,406.46 ,1978,440.27 ,NE,4282,154.60,4278,167.98,NE
ydcD,1529922,1530404,483,+,b1457,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
